Date,State,District,Active,Confirmed,Recovered,Deaths,Vaccinated,Case fatality Ratio,Case Positivity,Risk percentage
31/10/2021,Maharashtra,Ahmednagar,2292,339457,330122,7043,16.8,2.074784141,6.52,9.829568281
31/10/2021,Maharashtra,Akola,21,58764,57318,1425,15.4,2.424954054,0.67,4.749908107
31/10/2021,Maharashtra,Amravati,19,96231,94618,1594,20.1,1.65643088,1.32,3.62786176
31/10/2021,Maharashtra,Aurangabad,465,155331,150615,4251,12.8,2.736736389,2.13,6.963472777
31/10/2021,Maharashtra,Beed,140,103749,100803,2806,17.8,2.704604382,1.76,6.279208763
31/10/2021,Maharashtra,Bhandara,12,60080,58945,1123,16.4,1.869174434,0.47,3.388348868
31/10/2021,Maharashtra,Buldhana,13,85520,84710,797,17.9,0.931945744,0.54,1.508891487
31/10/2021,Maharashtra,Chandrapur,21,88968,87387,1560,12.6,1.753439439,1.56,4.436878878
31/10/2021,Maharashtra,Dhule,17,46172,45501,654,26.8,1.416442866,4.82,6.312885732
31/10/2021,Maharashtra,Gadchiroli,36,30440,29735,669,25.8,2.197766097,3.45,6.555532194
31/10/2021,Maharashtra,Gondia,9,40519,39941,569,19.4,1.404279474,1.97,3.808558948
31/10/2021,Maharashtra,Hingoli,20,18475,17949,506,22.9,2.738836265,9.65,13.98267253
31/10/2021,Maharashtra,Jalgaon,42,139934,137178,2714,14.3,1.939485758,8.16,11.32397152
31/10/2021,Maharashtra,Jalna,24,60615,59382,1209,18.2,1.994555803,3.98,7.059111606
31/10/2021,Maharashtra,Kolhapur,125,206671,200699,5847,21.7,2.829134228,0.97,5.543268456
31/10/2021,Maharashtra,Latur,88,92133,89608,2437,32.1,2.645089165,7.14,10.82517833
31/10/2021,Maharashtra,Mumbai,7184,756749,733318,16247,20.9,2.146947006,12.34,15.58889401
31/10/2021,Maharashtra,Nagpur,145,493607,484334,9128,18.5,1.849244439,6.78,9.553488879
31/10/2021,Maharashtra,Nanded,30,90409,87721,2658,28.5,2.93997279,9.65,14.10494558
31/10/2021,Maharashtra,Nandurbar,4,40006,39054,948,12.7,2.369644553,8.27,12.37428911
31/10/2021,Maharashtra,Nashik,584,410681,401418,8679,26.1,2.113319097,7.03,9.951638194
31/10/2021,Maharashtra,Osmanabad,288,67828,65577,1963,18.9,2.894085039,4.91,9.753170077
31/10/2021,Maharashtra,Other State,2,144,31,111,27.3,77.08333333,0.14,152.9416667
31/10/2021,Maharashtra,Palghar,422,138013,134309,3282,20.8,2.378036852,3.28,6.996073703
31/10/2021,Maharashtra,Parbhani,51,52362,51078,1233,28.1,2.354761086,2.68,5.984522173
31/10/2021,Maharashtra,Pune,3781,1154776,1131401,19594,18.9,1.696779289,9.36,11.80855858
31/10/2021,Maharashtra,Raigad,648,195958,190759,4551,16.4,2.32243644,10.53,14.35487288
31/10/2021,Maharashtra,Ratnagiri,180,78950,76292,2478,14.8,3.138695377,5.46,10.99739075
31/10/2021,Maharashtra,Sangli,485,209771,203673,5613,24.5,2.675775012,2.88,7.006550024
31/10/2021,Maharashtra,Satara,504,250414,243482,6428,17.6,2.566949132,6.83,11.08389826
31/10/2021,Maharashtra,Sindhudurg,362,52783,50987,1434,19.9,2.716783813,7.39,11.82856763
31/10/2021,Maharashtra,Solapur,551,210466,204364,5551,29.4,2.637480638,4.22,8.024961276
31/10/2021,Maharashtra,Thane,1525,610128,597141,11462,24.5,1.878622191,10.74,13.27224438
31/10/2021,Maharashtra,Wardha,171,57344,55956,1217,27.8,2.122279576,3.86,6.714559152
31/10/2021,Maharashtra,Washim,6,41663,41020,637,18.1,1.528934546,0.56,2.712869092
